"";"group1";"vars";"mean";"sd";"min";"max"
"1";"Apache";"Stock";0,01;0,16;-0,43;0,4
"2";"Apache";"A.MCAP";0,16;0,29;-0,38;0,86
"3";"Apache";"BVE.MCAP";0,01;1;-1,91;2,82
"4";"Apache";"D.MCAP";3,72;0,45;3,03;5,34
"5";"Apache";"NI";0;1,01;-4,52;0,93
"6";"Chevron";"Stock";0,01;0,09;-0,25;0,19
"7";"Chevron";"A.MCAP";-0,08;0,22;-0,48;0,59
"8";"Chevron";"BVE.MCAP";0,01;1;-1,37;3,54
"9";"Chevron";"D.MCAP";3,04;0,65;1,99;3,95
"10";"Chevron";"NI";0,01;1;-2,38;2,07
"11";"CPEnergy";"Stock";0;0,14;-0,52;0,45
"12";"CPEnergy";"A.MCAP";1,2;0,39;0,69;2,25
"13";"CPEnergy";"BVE.MCAP";-0,01;1;-1,28;4,86
"14";"CPEnergy";"D.MCAP";5,69;0,63;4,56;7,16
"15";"CPEnergy";"NI";0;1,01;-7,5;2,97
"16";"Exxon_Mobil";"Stock";0,02;0,09;-0,25;0,17
"17";"Exxon_Mobil";"A.MCAP";-0,41;0,23;-0,76;0,1
"18";"Exxon_Mobil";"BVE.MCAP";-0,01;1;-1,4;2,68
"19";"Exxon_Mobil";"D.MCAP";2,52;0,42;1,91;3,34
"20";"Exxon_Mobil";"NI";0,02;0,99;-1,44;2,77
"21";"Hess_Corp";"Stock";0,01;0,17;-0,43;0,42
"22";"Hess_Corp";"A.MCAP";0,53;0,28;-0,29;1,26
"23";"Hess_Corp";"BVE.MCAP";0,01;1;-1,89;3,22
"24";"Hess_Corp";"D.MCAP";3,9;0,48;3,14;4,77
"25";"Hess_Corp";"NI";0;1,01;-4,44;3,48
"26";"Murphy_Oil";"Stock";0,01;0,15;-0,54;0,23
"27";"Murphy_Oil";"A.MCAP";0,07;0,34;-0,51;1,11
"28";"Murphy_Oil";"BVE.MCAP";0;1,01;-1,1;3,63
"29";"Murphy_Oil";"D.MCAP";3,31;0,52;1,88;4,1
"30";"Murphy_Oil";"NI";0;1,01;-6,74;1,97
"31";"Occidental_Petroleum";"Stock";0,02;0,12;-0,38;0,27
"32";"Occidental_Petroleum";"A.MCAP";0,1;0,44;-0,57;0,96
"33";"Occidental_Petroleum";"BVE.MCAP";-0,01;1,01;-1,61;2,96
"34";"Occidental_Petroleum";"D.MCAP";3,41;0,97;1,88;5,34
"35";"Occidental_Petroleum";"NI";0;1,01;-5,27;1,54
"36";"PG&E_Corp";"Stock";0,01;0,14;-0,52;0,45
"37";"PG&E_Corp";"A.MCAP";1,11;0,32;0,68;2,16
"38";"PG&E_Corp";"BVE.MCAP";-0,02;0,99;-1,89;4,47
"39";"PG&E_Corp";"D.MCAP";4,9;0,38;4,48;6,22
"40";"PG&E_Corp";"NI";0;1,01;-6,24;4,12
"41";"Williams";"Stock";0,01;0,28;-1,37;0,55
"42";"Williams";"A.MCAP";0,71;0,71;-0,22;3,43
"43";"Williams";"BVE.MCAP";0;1,01;-0,75;6,17
"44";"Williams";"D.MCAP";4,96;0,34;4,44;5,82
"45";"Williams";"NI";0;1,01;-3,8;4,6
